OSM_ID,NAME
31398235,аллея Дружбы Городов
258476791,аллея Коса
162594055,аллея Котельникова
31365758,аллея Красного Бугра
31400137,аллея Красного Молодца
242339898,аллея Красного Солнца
222227425,аллея Лессинга
130675742,аллея Молодого Жениха
228156366,Аллея Новорождённых
151322672,аллея Павла Садырина
102660058,аллея Поликарпова
38083094,аллея Раевского
172586940,аллея Славы
146426952,аллея Смольного
294442938,аллея фонтанов
51753101,Аллея фонтанов
180930479,аллея Чёрной шляпы
153231410,аллея Юрия Морозова
171764119,Алмазный мост
31387555,Алтайская улица
296745782,Альпийский переулок
163393821,Амурская улица
35902263,Ангарская улица
119765608,Английская аллея
31366110,Английская набережная
145262454,Английский мост
154258491,Английский проспект
31389919,Андреевская улица
175313246,Андреевский мост
172664051,Андреевский переулок
113957797,Аникушинская аллея
256708870,Анисимовская дорога
143525633,Аничков мост
200612069,Аннинское шоссе
29072397,Антоновская улица
86328428,Антропшинская улица
103627598,Анциферовская улица
31372101,Апраксин переулок
166535327,Апраксинская улица
83689330,Апрельская улица
4460046,Аптекарская набережная
200177749,Аптекарская улица
29986234,Аптекарский мост
31388952,Аптекарский переулок
172510738,Аптекарский проспект
106291468,Аптечная улица
136385756,Арбузовский переулок
222176694,арка
4458440,Арктическая улица
138282745,Арктический переулок
161617027,Армовская улица
4455123,Арсенальная набережная
31371616,Арсенальная улица
68700151,Арсенальный переулок
108578275,Арсеньевский переулок
106291479,Артиллерийская улица
33994410,Артиллерийский переулок
23205273,Артиллерийский путепровод
174878835,Астраханская улица
130583811,Астрономическая улица
135195827,Атаманская улица
27755511,Атаманский мост
111821508,Афанасьевская улица
28980817,Афонская улица
4414960,Ахматовская улица
24782261,Аэродромная улица
93773882,Аэропортовая улица
172113635,Бабигонское шоссе
81680987,Баболовская улица
96100775,Баболовское шоссе
4461936,Байкальская улица
301175679,Байконурская улица
117886307,Бакинский проезд
38505792,Балканская дорога
123352213,Балканская площадь
155073536,Балканская улица
183484153,Балканский мост
104480255,Балтийская улица
297368065,Балтийский бульвар
150768722,Балтийский мост
31370525,Балтийский проспект
115310473,Банковский мост
166121962,Банковский переулок
172285662,Банный мост
33997750,Барклаевская улица
170115605,Бармалеева улица
31380130,Барочная улица
7700411,Барочный мост
31402860,Баррикадная улица
132229948,Басков переулок
35994787,Бассейная улица
139760667,Бастедонов переулок
143218281,Батайский переулок
104994286,Батальонная улица
31402103,Батарейная дорога
96739322,Баушевская улица
175866944,Беговая улица
124929708,Безымянная дорожка
173484544,Безымянная улица
74975064,Безымянный переулок
294800328,Белградская улица
159070013,Белградский мост
37089361,Белевский переулок
218637468,Белевский проспект
81680985,Беличья улица
31402252,Беловодский переулок
82216740,Белокаменная улица
4458204,Беломорская улица
279552064,Белоостровская улица
4457709,Белоостровское шоссе
172669216,Белорусская улица
117483227,Белосельский переулок
172456124,Беляевский мост
132953779,Бердов мост
300266493,Береговая улица
103207840,Береговой переулок
69013243,Берёзовая аллея
72300418,Берёзовая дорожка
107996636,Берёзовая линия
35002608,Берёзовая улица
102964927,Березовый мостик
97199850,Берёзовый переулок
83123282,Бертонов мост
53307206,Бестужевская улица
120193012,Бетонная дорожка
206358092,Библиотечный переулок
75248978,Биологическая улица
31376335,Биржевая линия
172421970,Биржевая площадь
31366777,Биржевая улица
23546991,Биржевой мост
175010547,Биржевой переулок
172435304,Биржевой проезд
172373358,Благовещенский мост
31378115,Благодатная улица
52173981,Блан-Менильская улица
23176138,Бобруйская улица
172113650,Бобыльская дорога
32606536,Бобыльская улица
123498802,Богаделинская дорожка
86968180,Богатырский проспект
55465862,Богумиловская улица
181461531,Бодров переулок
10372755,Боковая аллея
31367566,Бокситогорская улица
135038862,Болотная улица
59696581,Болотный проезд
118975357,Больничная горка
161601662,Большая аллея
230438393,Большая Горская улица
36434916,Большая Десятинная улица
82604795,Большая Зеленина улица
114468175,Большая Каменка
112326361,Большая каменная лестница
145493880,Большая Конюшенная улица
31396293,Большая Купальная улица
146786254,Большая линия
156421502,Большая Монетная улица
146582124,Большая Морская улица
31396848,Большая Московская улица
135995473,Большая Озёрная улица
172291862,Большая Подьяческая улица
262104255,Большая Пороховская улица
129088004,Большая Посадская улица
172817484,Большая Пушкарская улица
31386479,Большая Разночинная улица
131384941,Большая улица
4458678,Большая Яблоновка
40162606,Большевистская улица
242442738,Большеохтинский мост
4456541,Большеохтинский проспект
172806152,Большой Ижорский мост
42253383,Большой Ильинский мост
192067708,Большой Казачий переулок
27634220,Большой Каменный мост
34178625,Большой каприз
34961241,Большой китайский мост
172299698,Большой Конюшенный мост
5150556,Большой Крестовский мост
121167511,Большой Литейный переулок
177042611,Большой Обуховский мост
22793393,Большой Петровский мост
54905629,Большой проспект
229132334,Большой проспект В.О.
135341324,Большой проспект П.С.
159096102,Большой Сампсониевский проспект
179779589,Большой Смоленский проспект
45017688,Большой Чухонский мост
172901149,Большой Яблоновский мост
54968980,Борисов мост
31401312,Боровая улица
33544908,Боровой мост
89971728,Боровой переулок
4454703,Бородинская улица
138961763,Ботаническая улица
156398249,Боткинская улица
4461243,Боцманская улица
170818615,Брантовская дорога
124929646,Братская дорожка
174753253,Братская улица
31403409,Брестский бульвар
71229063,Броневая улица
125686121,Бронетанковая улица
161542570,Бронная улица
31396619,Бронницкая улица
77687302,Брусничная улица
31386367,Брюсовская улица
25423518,Брянская улица
35573655,Бугровая улица
110087266,Бугровская улица
4462163,Бугский переулок
158898053,Будапештская улица
232983423,бульвар Александра Грина
172813921,бульвар Алексея Толстого
169702335,бульвар Дружбы
135402945,бульвар Красных Зорь
43118875,бульвар Красных Курсантов
229244889,бульвар Новаторов
172822453,бульвар Победы
172113790,бульвар Разведчика
238741467,бульвар Свободы
31386085,бульвар Трудящихся
4456433,Бумажная улица
229579317,Бумажный мост
132830110,Бухарестская улица
166535339,Бухвостовская улица
32113675,Быковская улица
221047822,Вавиловский проезд
35413772,Вагонный проезд
153720341,Вазаский переулок
155645225,Валдайская улица
136056020,Варваринская улица
138282746,Варлаамовская улица
138384047,Варфоломеевская улица
148700330,Варшавская площадь
31372059,Варшавская улица
23591673,Варшавский мост
35535813,Варшавский проезд
35535919,Васильковая улица
31367131,Введенская улица
182611172,Введенский канал
126607253,Велосипедная аллея
298618889,Вербная улица
86328438,Веревская улица
31398239,Верейская улица
141820298,Вересковая улица
32112886,Вертолётная улица
287052710,Верхний Лебяжий мост
119806263,Верхний парк
202801937,Верхняя
38180307,Верхняя Ижорская улица
94936691,Верхняя улица
158502996,Верховая дорога
126562702,Весёлый переулок
4460061,Вёсельная улица
126441533,Весенняя улица
123498803,Весовая дорожка
288487117,Ветеринарный переулок
106839537,Взлётная улица
129112674,Виленский переулок
4454357,Виндавская улица
227006888,Винокурцевский проезд
30995860,Висконтиев мост
171728180,Витебская Сортировочная улица
31402123,Витебская улица
191921958,Витебский мост
31386089,Витебский проспект
23972816,Витебский путепровод
158265206,Вишерская улица
182243529,Вишневая улица
189447253,Вишнёвая улица
31369370,Владимирская улица
61819052,Владимирский переулок
172611138,Владимирский проспект
172409717,Внуковская улица
95110913,Внутреннее кольцо
27695814,Водопадная улица
103427576,Водопроводная аллея
123377096,Водопроводная улица
4455778,Водопроводный переулок
236313545,Водосливной переулок
292870708,Военная улица
4459876,Воздухоплавательная улица
218468851,Вознесенский мост
218504968,Вознесенский проспект
147948692,Воинская дорога
136385757,Войтоловская улица
176364387,Вокзальная улица
4461798,Вокзальное шоссе
146618296,Вокзальный проезд
125889850,Волго-Донская улица
62237896,Волго-Донской проспект
32959851,Волжский переулок
207971616,Волковский мост 1
194972627,Волковский проспект
121903315,Волконская улица
49858103,Волнистая улица
208038099,Вологодская дорожка
37125912,Вологодская улица
130703497,Володарская улица
157076911,Володарский мост
31385946,Волоколамский переулок
196085575,Волховская улица
172435305,Волховский переулок
38482776,Волховстроевская улица
108636269,Волхонский переулок
61811167,Волхонский проезд
52531382,Волхонское шоссе
180619381,Волынкин переулок
72515657,Волынский переулок
108636274,Вольновская улица
50115719,Воркутинская улица
31377176,Воронежская улица
66516762,Воронинский проезд
134694472,Воронцов переулок
240691032,Воскресенская набережная
146786255,Воскресенский проезд
131384933,Восточная улица
202625983,Восточный Артиллерийский мост
55371193,Восточный переулок
75246222,Восточный проезд
174753258,Всеволожская улица
25406623,Всеволожский мост
126303603,Въезд в контейнерный терминал
266121944,Въезд на территорию МАШОПТТОРГ (грузовики)
145832757,Выборгская дорога
124929711,Выборгская дорожка
187620869,Выборгская набережная
31371529,Выборгская улица
31376422,Выборгский переулок
129316454,Выборгский тоннель
121724770,Выборгское шоссе
126303604,Выезд из контейнерного терминала
"82444009,""Выезд с объекта ЖК """"Самоцветы"""""""
266121526,Выезд с территории МАШОПТТОРГ (грузовики)
86328427,Вырицкая улица
31398754,Высокая улица
103207687,Высоковольтная улица
119311721,Высоковольтный проезд
77685747,Высоцкая улица
236777437,Выставочная улица
172948681,Вытегорский переулок
4457560,Вяземская дорога
4456384,Вяземский переулок
31398913,Вязовая улица
178630341,Вятская улица
125822675,Гаванная улица
31893398,Гаванская улица
71069418,Гаванский переулок
146916887,Гаврская улица
120732157,Гагаринская набережная
25655143,Гагаринская улица
4457387,Газовая улица
54968975,Газовый мост
23273732,Газовый переулок
136385760,Гайтоловская улица
104072011,Гаккелевская улица
31388544,Галерная улица
174902894,Галерный мост
31376081,Галерный проезд
136560796,Галицкая улица
31368406,Гамбургская площадь
31365920,Гангутская улица
8146349,Гапсальская улица
125079722,Гаражная улица
246213834,Гаражный проезд
191471756,Гаревая дорожка
103207643,Гартнеровский переулок
145643722,Гатчинская дорога
31372284,Гатчинская улица
125402788,Гатчинское шоссе
80236518,Гвардейская улица
96450680,Гвардейский бульвар
126521693,Гданьская улица
35567636,Гдовская улица
31403232,Гельсингфорсская улица
204893114,Геологическая улица
34007020,Герасимовская улица
86328442,Гертовская улица
78518203,Геслеровский мост
162915393,Гжатская улица
4461963,Гимназический переулок
197658096,Главная аллея
108686450,Главная дорога
123573908,Главная дорожка
4462263,Главная улица
131228567,Главный проезд
120718437,Глазуновская дорожка
34006847,Глазурная улица
250287170,Глиняная улица
86222787,Глухариная улица
198287566,Глухарская улица
172614468,Глухая Зеленина улица
31395857,Глухой переулок
223469880,Глухоозёрское шоссе
123566258,Голикова дорожка
152620204,Голицынская улица
187623278,Головинский мост
172649943,Головкинская улица
153481458,Гомельская улица
143525634,Гончарная улица
125715219,Горбатый мост
127607516,Горбатый мостик
23274036,Гореловская улица
23351329,Гореловский путепровод
106291471,Горная улица
83536159,Горностаевый переулок
150460838,Гороховая улица
165664317,Горохов переулок
55371186,Горская улица
206259098,Горский переулок
4455034,Горское шоссе
245584462,Горсткин мост
105197919,Горчаковская улица
158534071,Госпитальная улица
31377447,Госпитальный переулок
202235551,Гостилицкая улица
81707205,Гостилицкое шоссе
198230472,Гостиная улица
138281161,Гофмейстерская улица
161134033,Грааповский мост
106291491,Гражданская улица
70746366,Гражданский мост
104490370,Гражданский переулок
245831206,Гражданский проспект
180711775,Гранитная улица
135976382,Граничная улица
288078456,Граничный переулок
23141385,Графский переулок
66516751,Графский проезд
36811572,Гребная улица
181437204,Гренадерская улица
4456201,Гренадерский мост
162380264,Греческая площадь
31397685,Греческий проспект
172857506,Грибная аллея
155319202,Грибная улица
155319204,Грибной переулок
160680237,Гродненский переулок
36820368,Громовская улица
31365272,Грузинская улица
123358984,Грузовой проезд
175631963,Гумилёвская дорожка
104721254,Гуммолосаровская улица
172812913,Гусарская улица
179396259,Гусева улица
23591667,Гутуевский мост
82865674,Дальневосточная улица
194743753,Дальневосточный проспект
31968825,Дальняя улица
174330890,Дачная улица
164491539,Дачный переулок
78326934,Дачный проспект
172609526,Дачный путепровод
138406353,Двинская дорожка
31386294,Двинская улица
33218971,Двинский переулок
159079284,Дворцовая аллея
243325891,Дворцовая набережная
80764252,Дворцовая площадь
31365321,Дворцовая улица
150184612,Дворцовый мост
150184624,Дворцовый проезд
172259967,Дворцовый проспект
128666209,Дегтярная улица
71953072,Дегтярный переулок
222342616,Деловая улица
178881623,Демидов мост
52469351,Дёминский переулок
31365373,Демонстрационный проезд
89677136,Деповская улица
106291457,Деповский переулок
4459255,Депутатская улица
70523551,Державинский переулок
31396674,Дерновая аллея
123501056,Дерновая дорожка
36436201,Дерновая улица
135767629,Дерптский переулок
175897173,Десантная улица
36434884,Десятинный переулок
175876429,Детская улица
28500117,Детский переулок
172351538,Детскосельская улица
288800619,Детскосельский бульвар
102225731,Детскосельский переулок
4462389,Диагональная улица
147473928,Дибуновская улица
175390684,Дибунский переулок
55291561,Дивеевская улица
241114899,Дивенская улица
191616037,Дизельный проезд
121227910,Дикая аллея
39760916,Динамовская улица
121534831,Диспетчерская улица
63204037,Длинная улица
144550078,Дмитриевская улица
172346023,Дмитровский переулок
124929718,Днепровская дорожка
32704500,Днепровский переулок
236346323,Днепропетровская улица
82141988,Добрососедская улица
172664271,Добрушская улица
4462112,Дойников переулок
131299315,Доковый мост
124801330,Долгоозёрная улица
62124886,Долгоруков мост
32607205,Домодедовская улица
31387623,Домостроительная улица
201079616,Донецкая улица
124929722,Донская дорожка
32731043,Донская улица
"164632572,""дорога """"Памяти жертв 9-го января"""""""
31401309,дорога в Каменку
128073383,дорога в Поляны
31396465,дорога в Рыбацкое
194461690,дорога в Угольную гавань
39161450,Дорога Жизни
147948605,дорога Крассовского
285186624,дорога к Шалашу Ленина
"50599561,""дорога на """"Винтовку"""""""
276511946,дорога на Александровку
94801957,дорога на Глухое озеро
40420278,Дорога на ДСК
46035011,Дорога на КСМ
38494276,дорога на Металлострой
31375527,дорога на Петро-Славянку
242135253,дорога на Турухтанные острова
299671010,Дорожка №1
299671011,Дорожка №2
299671012,Дорожка №3
299671013,Дорожка №4
125113652,дорожка Герцена
61737206,Дорожная улица
34961211,Драконов мост
126521866,Дрезденская улица
31377922,Дровяная улица
